product_id;country_id;Price
300001;90;619.00
300002;90;379.00
300003;90;279.00
300004;90;549.00
300005;90;519.00
300006;90;529.00
300007;90;489.00
300008;90;519.00
300009;90;449.00
300010;90;359.00
300011;90;299.00
300012;90;169.00
300013;90;299.00
300014;90;299.00
300015;90;269.00
300016;90;345.00
300017;90;299.00
300018;90;415.00
300019;90;225.00
300020;90;219.00
300021;90;369.00
300022;90;299.00
300023;90;399.00
300024;90;339.00
300025;90;249.00
300026;90;439.00
300027;90;269.00
300028;90;339.00
300029;90;47.00
300030;90;33.00
300031;90;129.00
300032;90;249.00
300033;90;145.00
300034;90;115.00
300035;90;115.00
300036;90;83.00
300037;90;399.00
300038;90;399.00
300039;90;105.00
300040;90;89.00
300041;90;115.00
300042;90;149.00
300043;90;155.00
300044;90;89.00
300045;90;115.00
300046;90;49.00
300047;90;139.00
300048;90;195.00
300049;90;155.00
300050;90;115.00
300051;90;155.00
300052;90;169.00
300053;90;699.00
300054;90;269.00
300055;90;135.00
300056;90;149.00
300057;90;269.00
300058;90;219.00
300059;90;269.00
300060;90;105.00
300061;90;155.00
300062;90;95.00
300063;90;129.00
300064;90;199.00
300065;90;149.00
300066;90;99.00
300067;90;235.00
300068;90;129.00
300069;90;115.00
300070;90;99.00
300071;90;199.00
300072;90;119.00
300073;90;105.00
300074;90;105.00
300075;90;169.00
300076;90;199.00
300077;90;145.00
300078;90;135.00
300079;90;159.00
300080;90;159.00
300081;90;159.00
300082;90;159.00
300083;90;269.00
300084;90;269.00
300085;90;519.00
300086;90;159.00
300087;90;159.00
300088;90;159.00
300089;90;189.00
300090;90;189.00
300091;90;189.00
300092;90;189.00
300093;90;189.00
300094;90;499.00
300095;90;269.00
300096;90;189.00
300097;90;189.00
300098;90;499.00
300099;90;499.00
300100;90;169.00
300101;90;269.00
300102;90;579.00
300103;90;819.00
300104;90;749.00
300105;90;309.00
300106;90;459.00
300107;90;319.00
300108;90;479.00
300109;90;379.00
300110;90;279.00
300111;90;299.00
300112;90;179.00
300113;90;279.00
300114;90;329.00
300115;90;219.00
300116;90;499.00
300117;90;549.00
300118;90;549.00
300119;90;349.00
300120;90;399.00
300121;90;129.00
300122;90;699.00
300123;90;299.00
300124;90;299.00
300125;90;549.00
300126;90;549.00
300127;90;549.00
300128;90;549.00
300129;90;549.00
300130;90;549.00
300131;90;349.00
300132;90;99.00
300133;90;249.00
300134;90;249.00
300135;90;99.00
300136;90;199.00
300137;90;449.00
300138;90;979.00
300139;90;979.00
300140;90;449.00
300141;90;979.00
300142;90;979.00
300143;90;449.00
300144;90;449.00
300145;90;449.00
300146;90;449.00
300147;90;449.00
300148;90;299.00
300149;90;299.00
300150;90;289.00
300151;90;269.00
300152;90;189.00
300153;90;449.00
300154;90;249.00
300155;90;395.00
300156;90;949.00
300157;90;199.00
300158;90;429.00
300159;90;99.00
300160;90;279.00
300161;90;349.00
300162;90;119.00
300163;90;219.00
300164;90;329.00
300165;90;829.00
300166;90;819.00
300167;90;3699.00
300168;90;819.00
300169;90;819.00
300170;90;370.00
300171;90;539.00
300172;90;268.00
300173;90;1749.00
300174;90;1879.00
300175;90;539.00
300176;90;2199.00
300177;90;499.00
300178;90;499.00
300179;90;389.00
300180;90;739.00
300181;90;389.00
300182;90;429.00
300183;90;209.00
300184;90;389.00
300185;90;429.00
300186;90;209.00
300187;90;599.00
300188;90;599.00
300189;90;395.00
300190;90;599.00
300191;90;599.00
300192;90;349.00
300193;90;489.00
300194;90;349.00
300195;90;489.00
300196;90;899.00
300197;90;579.00
300198;90;489.00
300199;90;439.00
300200;90;439.00
300201;90;439.00
300202;90;439.00
300203;90;519.00
300204;90;899.00
300205;90;599.00
300206;90;579.00
300207;90;579.00
300208;90;579.00
300209;90;579.00
300210;90;579.00
300211;90;579.00
300212;90;399.00
300213;90;349.00
300214;90;689.00
300215;90;899.00
300216;90;259.00
300217;90;2290.00
300218;90;2690.00
300219;90;649.00
300220;90;579.00
300221;90;679.00
300222;90;579.00
300223;90;579.00
300224;90;579.00
300225;90;579.00
300226;90;679.00
300227;90;649.00
300228;90;399.00
300229;90;199.00
300230;90;319.00
300231;90;279.00
300232;90;349.00
300233;90;159.00
300234;90;299.00
300235;90;349.00
300236;90;159.00
300237;90;299.00
300238;90;279.00
300239;90;269.00
300240;90;219.00
300241;90;349.00
300242;90;395.00
300243;90;349.00
300244;90;649.00
300245;90;1049.00
300246;90;1199.00
300247;90;2699.00
300248;90;970.00
300249;90;899.00
300250;90;499.00
300251;90;299.00
300252;90;349.00
300253;90;269.00
300254;90;169.00
300255;90;199.00
300256;90;199.00
300257;90;199.00
300258;90;179.00
300259;90;429.00
300260;90;429.00
300261;90;259.00
300262;90;179.00
300263;90;429.00
300264;90;2590.00
300265;90;1399.00
300266;90;3389.00
300267;90;569.00
300268;90;569.00
300269;90;569.00
300270;90;569.00
300271;90;429.00
300272;90;529.00
300273;90;369.00
300274;90;2499.00
300275;90;649.00
300276;90;649.00
300277;90;2399.00
300278;90;2899.00
300279;90;599.00
300280;90;599.00
300281;90;2399.00
300282;90;579.00
300283;90;2650.00
300284;90;899.00
300285;90;799.00
300286;90;544.00
300287;90;340.00
300288;90;1129.00
300289;90;899.00
300290;90;1699.00
300291;90;1129.00
300292;90;1129.00
300293;90;255.00
300294;90;539.00
300295;90;1399.00
300296;90;1699.00
300297;90;889.00
300298;90;349.00
300299;90;1329.00
300300;90;1329.00
300301;90;1069.00
300302;90;599.00
300303;90;1599.00
300304;90;999.00
300305;90;1299.00
300306;90;1299.00
300307;90;529.00
300308;90;449.00
300309;90;369.00
300310;90;999.00
300311;90;449.00
300312;90;289.00
300313;90;459.00
300314;90;799.00
300315;90;599.00
300316;90;479.00
300317;90;1199.00
300318;90;419.00
300319;90;679.00
300320;90;1799.00
300321;90;869.00
300322;90;1299.00
300323;90;1829.00
300324;90;599.00
300325;90;899.00
300326;90;2349.00
300327;90;1749.00
300328;90;849.00
300329;90;809.00
300330;90;1449.00
300331;90;769.00
300332;90;1649.00
300333;90;1149.00
300334;90;1099.00
300335;90;1339.00
300336;90;1229.00
300337;90;1259.00
300338;90;1599.00
300339;90;5499.00
300340;90;1299.00
300341;90;5699.00
300342;90;6499.00
300343;90;4999.00
300344;90;2699.00
300345;90;11999.00
300346;90;599.00
300347;90;899.00
300348;90;819.00
300349;90;819.00
300350;90;433.00
300351;90;649.00
300352;90;440.00
300353;90;440.00
300354;90;839.00
300355;90;909.00
300356;90;440.00
300357;90;649.00
300358;90;649.00
300359;90;454.00
300360;90;299.00
300361;90;599.00
300362;90;599.00
300363;90;999.00
300364;90;999.00
300365;90;999.00
300366;90;459.00
300367;90;999.00
300368;90;489.00
300369;90;739.00
300370;90;739.00
300371;90;739.00
300372;90;419.00
300373;90;649.00
300374;90;369.00
300375;90;659.00
300376;90;939.00
300377;90;1169.00
300378;90;649.00
300379;90;829.00
300380;90;699.00
300381;90;759.00
300382;90;1169.00
300383;90;889.00
300384;90;649.00
300385;90;699.00
300386;90;899.00
300387;90;1099.00
300388;90;699.00
300389;90;699.00
300390;90;749.00
300391;90;749.00
300392;90;649.00
300393;90;1169.00
300394;90;1099.00
300395;90;559.00
300396;90;429.00
300397;90;429.00
300398;90;799.00
300399;90;799.00
300400;90;699.00
300401;90;699.00
300402;90;639.00
300403;90;639.00
300404;90;639.00
300405;90;949.00
300406;90;949.00
300407;90;949.00
300408;90;949.00
300409;90;949.00
300410;90;949.00
300411;90;1999.00
300412;90;999.00
300413;90;999.00
300414;90;1099.00
300415;90;1539.00
300416;90;1559.00
300417;90;1539.00
300418;90;1649.00
300419;90;1449.00
300420;90;1849.00
300421;90;869.00
300422;90;2599.00
300423;90;789.00
300424;90;849.00
300425;90;1749.00
300426;90;969.00
300427;90;969.00
300428;90;959.00
300429;90;1099.00
300430;90;1499.00
300431;90;709.00
300432;90;719.00
300433;90;749.00
300434;90;1299.00
300435;90;1099.00
300436;90;1199.00
300437;90;979.00
300438;90;1199.00
300439;90;979.00
300440;90;979.00
300441;90;1199.00
300442;90;979.00
300443;90;1199.00
300444;90;1399.00
300445;90;1299.00
300446;90;999.00
300447;90;1099.00
300448;90;999.00
300449;90;1739.00
300450;90;1739.00
300451;90;1599.00
300452;90;919.00
300453;90;579.00
300454;90;579.00
300455;90;299.00
300456;90;579.00
300457;90;1599.00
300458;90;579.00
300459;90;919.00
300460;90;399.00
300461;90;399.00
300462;90;399.00
300463;90;399.00
300464;90;399.00
300465;90;399.00
300466;90;349.00
300467;90;349.00
300468;90;349.00
300469;90;349.00
300470;90;639.00
300471;90;529.00
300472;90;529.00
300473;90;529.00
300474;90;529.00
300475;90;529.00
300476;90;529.00
300477;90;369.00
300478;90;369.00
300479;90;569.00
300480;90;399.00
300481;90;399.00
300482;90;399.00
300483;90;399.00
300484;90;399.00
300485;90;1429.00
300486;90;1429.00
300487;90;1429.00
300488;90;1599.00
300489;90;1599.00
300490;90;999.00
300491;90;1599.00
300492;90;1599.00
300493;90;1799.00
300494;90;1699.00
300495;90;1699.00
300496;90;2999.00
300497;90;799.00
300498;90;1189.00
300499;90;1699.00
300500;90;1099.00
300501;90;2599.00
300502;90;699.00
300503;90;1199.00
300504;90;699.00
300505;90;999.00
300506;90;1189.00
300507;90;679.00
300508;90;549.00
300509;90;679.00
300510;90;2299.00
300511;90;679.00
300512;90;1249.00
300513;90;2299.00
300514;90;679.00
300515;90;1399.00
300516;90;3849.00
300517;90;769.00
300518;90;769.00
300519;90;2499.00
300520;90;749.00
300521;90;2499.00
300522;90;749.00
300523;90;749.00
300524;90;1649.00
300525;90;2899.00
300526;90;2959.00
300527;90;2959.00
300528;90;2959.00
300529;90;2759.00
300530;90;2899.00
300531;90;2749.00
300532;90;2799.00
300533;90;2749.00
300534;90;3299.00
300535;90;3299.00
300536;90;499.00
300537;90;1399.00
300538;90;479.00
300539;90;1069.00
300540;90;369.00
300541;90;369.00
300542;90;1999.00
300543;90;829.00
300544;90;829.00
300545;90;149.00
300546;90;149.00
300547;90;149.00
300548;90;149.00
300549;90;149.00
300550;90;539.00
300551;90;899.00
300552;90;699.00
300553;90;279.00
300554;90;219.00
300555;90;155.00
300556;90;205.00
300557;90;205.00
300558;90;205.00
300559;90;205.00
300560;90;119.00
300561;90;219.00
300562;90;219.00
300563;90;119.00
300564;90;119.00
300565;90;119.00
300566;90;99.00
300567;90;99.00
300568;90;419.00
300569;90;419.00
300570;90;419.00
300571;90;419.00
300572;90;199.00
300573;90;259.00
300574;90;199.00
300575;90;99.00
300576;90;149.00
300577;90;139.00
300578;90;459.00
300579;90;115.00
300580;90;99.00
300581;90;139.00
300582;90;115.00
300583;90;139.00
300584;90;115.00
300585;90;199.00
300586;90;199.00
300587;90;199.00
300588;90;259.00
300589;90;259.00
300590;90;259.00
300591;90;479.00
300592;90;479.00
300593;90;479.00
300594;90;319.00
300595;90;319.00
300596;90;479.00
300597;90;479.00
300598;90;479.00
300599;90;319.00
300600;90;479.00
300601;90;479.00
300602;90;599.00
300603;90;599.00
300604;90;599.00
300605;90;599.00
300606;90;599.00
300607;90;599.00
300608;90;599.00
300609;90;599.00
300610;90;599.00
300611;90;599.00
300612;90;599.00
300613;90;599.00
300614;90;569.00
300615;90;569.00
300616;90;569.00
300617;90;569.00
300618;90;569.00
300619;90;569.00
300620;90;569.00
300621;90;479.00
300622;90;319.00
300623;90;299.00
300624;90;299.00
300625;90;299.00
300626;90;299.00
300627;90;479.00
300628;90;219.00
300629;90;219.00
300630;90;219.00
300631;90;219.00
300632;90;219.00
300633;90;219.00
300634;90;219.00
300635;90;219.00
300636;90;999.00
300637;90;999.00
300638;90;999.00
300639;90;999.00
300640;90;999.00
300641;90;999.00
300642;90;1099.00
300643;90;999.00
300644;90;1199.00
300645;90;999.00
300646;90;349.00
300647;90;269.00
300648;90;349.00
300649;90;269.00
300650;90;269.00
300651;90;349.00
300652;90;269.00
300653;90;349.00
300654;90;349.00
300655;90;349.00
300656;90;269.00
300657;90;389.00
300658;90;259.00
300659;90;389.00
300660;90;259.00
300661;90;389.00
300662;90;259.00
300663;90;389.00
300664;90;259.00
300665;90;389.00
300666;90;389.00
300667;90;259.00
300668;90;225.00
300669;90;259.00
300670;90;799.00
300671;90;259.00
300672;90;225.00
300673;90;259.00
300674;90;259.00
300675;90;225.00
300676;90;619.00
300677;90;799.00
300678;90;259.00
300679;90;225.00
300680;90;259.00
300681;90;259.00
300682;90;229.00
300683;90;259.00
300684;90;259.00
300685;90;229.00
300686;90;259.00
300687;90;259.00
300688;90;209.00
300689;90;269.00
300690;90;329.00
300691;90;269.00
300692;90;269.00
300693;90;209.00
300694;90;269.00
300695;90;209.00
300696;90;209.00
300697;90;269.00
300698;90;329.00
300699;90;209.00
300700;90;399.00
300701;90;399.00
300702;90;479.00
300703;90;399.00
300704;90;269.00
300705;90;399.00
300706;90;269.00
300707;90;399.00
300708;90;479.00
300709;90;399.00
300710;90;399.00
300711;90;399.00
300712;90;399.00
300713;90;399.00
300714;90;479.00
300715;90;269.00
300716;90;399.00
300717;90;399.00
300718;90;399.00
300719;90;399.00
300720;90;399.00
300721;90;399.00
300722;90;399.00
300723;90;379.00
300724;90;409.00
300725;90;409.00
300726;90;379.00
300727;90;409.00
300728;90;329.00
300729;90;379.00
300730;90;409.00
300731;90;379.00
300732;90;409.00
300733;90;379.00
300734;90;379.00
300735;90;379.00
300736;90;719.00
300737;90;719.00
300738;90;719.00
300739;90;719.00
300740;90;719.00
300741;90;1259.00
300742;90;899.00
300743;90;719.00
300744;90;899.00
300745;90;719.00
300746;90;299.00
300747;90;299.00
300748;90;299.00
300749;90;579.00
300750;90;579.00
300751;90;579.00
300752;90;499.00
300753;90;499.00
300754;90;499.00
300755;90;499.00
300756;90;499.00
300757;90;219.00
300758;90;239.00
300759;90;239.00
300760;90;239.00
300761;90;239.00
300762;90;239.00
300763;90;239.00
300764;90;239.00
300765;90;239.00
300766;90;219.00
300767;90;219.00
300768;90;219.00
300769;90;1099.00
300770;90;1199.00
300771;90;1099.00
300772;90;219.00
300773;90;239.00
300774;90;239.00
300775;90;239.00
300776;90;239.00
300777;90;239.00
300778;90;239.00
300779;90;239.00
300780;90;239.00
300781;90;219.00
300782;90;219.00
300783;90;219.00
300784;90;899.00
300785;90;1099.00
300786;90;599.00
300787;90;599.00
300788;90;599.00
300789;90;899.00
300790;90;1399.00
300791;90;599.00
300792;90;599.00
300793;90;599.00
300794;90;599.00
300795;90;599.00
300796;90;279.00
300797;90;839.00
